id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
31854,WBGU,small_airport,Long Sukang Airport,4.55222,115.494003,1200,AS,Malaysia,MY,Sarawak,MY-13,13,Long Sukang,0,WBGU,LSU,,,https://en.wikipedia.org/wiki/Long_Sukang_Airport,,50,2024-05-17T08:51:14+00:00
42332,WMLU,closed,Lutong Airport,4.454601,114.003518,16,AS,Malaysia,MY,Sarawak,MY-13,13,Lutong,0,,,,,https://web.archive.org/web/20220827174514/https://en.wikipedia.org/w/index.php?title=Lutong_Airport&oldid=995473364,"WMLU, WMLU",50,2022-11-08T10:58:33+00:00
41351,MY-0020,small_airport,Marak Parak Airport,6.312222004,116.7297211,400,AS,Malaysia,MY,Sabah,MY-12,12,Marak Parak,0,,,,,,,50,2008-08-17T17:09:05+00:00
355054,MY-0034,small_airport,Pa Dali Airport,3.558464,115.555936,,AS,Malaysia,MY,Sarawak,MY-13,13,Marudi,0,,,,,,,50,2022-06-19T20:45:34+00:00
354865,MY-0032,small_airport,Terendak Camp Airstrip,2.295796,102.090654,,AS,Malaysia,MY,Melaka,MY-04,4,Mashid Tanah,0,,,,,,,50,2022-06-26T04:14:14+00:00
41352,MY-0021,small_airport,Meligan Airport,4.681666851,115.6980591,1800,AS,Malaysia,MY,Sabah,MY-12,12,Meligan,0,,,,,,,50,2008-08-17T17:09:06+00:00
41353,MY-0022,small_airport,Meridi Airport,6.094166756,116.9700012,300,AS,Malaysia,MY,Sabah,MY-12,12,Meridi,0,,,,,,,50,2008-08-17T17:09:07+00:00
31888,WMAU,small_airport,Mersing Airport,2.389148,103.874183,10,AS,Malaysia,MY,Johor,MY-01,1,Mersing,0,WMAU,MEP,,,https://en.wikipedia.org/wiki/Mersing_Airport,,50,2024-05-17T08:53:15+00:00
41346,MY-0015,small_airport,Hunter (Morotai) Airport,4.4103899,117.7870026,175,AS,Malaysia,MY,Sabah,MY-12,12,Morotai,0,,,,,,,50,2008-08-17T17:09:00+00:00
41318,MY-MZS,closed,Mostyn Airport,4.616666,118.150002,200,AS,Malaysia,MY,Sabah,MY-12,12,Mostyn,0,,,,,,MZS,50,2023-12-24T07:09:17+00:00
32665,WMAV,small_airport,Muar / Bakri Airport,2.05215,102.65795,20,AS,Malaysia,MY,Johor,MY-01,1,Muar,0,WMAV,,,,,,50,2022-06-26T04:15:30+00:00
41354,MY-0023,small_airport,Nangoh Airport,5.966388702,117.2963867,100,AS,Malaysia,MY,Sabah,MY-12,12,Nangoh,0,,,,,,,50,2008-08-17T17:09:08+00:00
41321,WBKP,small_airport,Pamol Airport,5.996571,117.404795,36,AS,Malaysia,MY,Sabah,MY-12,12,Pamol,0,WBKP,PAY,,,,,50,2022-08-15T14:40:47+00:00
41355,MY-0024,small_airport,Pandewan Airport,4.974722385,116.4716644,1100,AS,Malaysia,MY,Sabah,MY-12,12,Pandewan,0,,,,,,,50,2008-08-17T17:09:09+00:00
41356,MY-0025,small_airport,Pa Ramudu Airport,3.555431,115.49503,2800,AS,Malaysia,MY,Sarawak,MY-13,13,Paramudu,0,,,,,,,50,2022-06-19T20:44:08+00:00
32669,WMBH,small_airport,Pengkalan Hulu Airport,5.695909,100.996797,1000,AS,Malaysia,MY,Perak,MY-08,8,Pengkalan Hulu,0,WMBH,,,,,,50,2021-01-21T16:34:58+00:00
41316,LAC,small_airport,Layang-Layang Airport,7.37157,113.844002,7,AS,Malaysia,MY,Sabah,MY-12,12,Pulau Layang-Layang (Swallow Reef),0,,LAC,,,https://en.wikipedia.org/wiki/Swallow_Reef,"Pulau Layang-Layang, Swallow Reef, Layang-Layang Atoll",50,2022-11-08T04:30:04+00:00
504745,MY-0044,small_airport,Putrajaya Recreational Airport,2.9027,101.66618,105,AS,Malaysia,MY,Putrajaya (Federal Territory),MY-16,16,Putrajaya,0,,,,,,,50,2022-11-08T11:11:41+00:00
32219,WBKR,small_airport,Ranau Airport,5.957793,116.680191,1800,AS,Malaysia,MY,Sabah,MY-12,12,Ranau,0,WBKR,RNU,,,,,50,2022-11-08T15:53:26+00:00
339962,MY-0003,small_airport,Cameron Highlands Airstrip,4.440291,101.421724,,AS,Malaysia,MY,Pahang,MY-06,6,Ringlet,0,,,,,,,50,2022-06-15T19:10:14+00:00
32408,WBKH,small_airport,Sahabat [Sahabat 16] Airport,5.087779999,119.0940018,40,AS,Malaysia,MY,Sabah,MY-12,12,Sahabat,0,WBKH,SXS,,,,,50,2008-08-17T17:08:57+00:00
30793,WBGN,small_airport,Sematan Airport,1.812678,109.765391,22,AS,Malaysia,MY,Sarawak,MY-13,13,Sematan,0,WBGN,BSE,,,https://en.wikipedia.org/wiki/Sematan_Airport,,50,2024-05-17T08:50:23+00:00
32330,WBKA,small_airport,Semporna Airport,4.454596,118.595023,60,AS,Malaysia,MY,Sabah,MY-12,12,Semporna,0,WBKA,SMM,,,https://en.wikipedia.org/wiki/Semporna_Airport,,50,2024-05-29T06:13:24+00:00
32352,WBKO,small_airport,Sepulot Airport,4.732999802,116.4670029,800,AS,Malaysia,MY,Sabah,MY-12,12,Sepulot,0,WBKO,SPE,,,,,50,2008-08-17T17:08:57+00:00
41320,MY-SPT,small_airport,Sipitang Airport,5.083333015,115.5500031,44,AS,Malaysia,MY,Sabah,MY-12,12,Sipitang,0,,SPT,,,,,50,2008-08-17T17:08:57+00:00
32404,WMBA,small_airport,Sitiawan Airport,4.2222,100.6993,25,AS,Malaysia,MY,Perak,MY-08,8,Sitiawan,0,WMBA,SWY,,,https://en.wikipedia.org/wiki/Sitiawan_Airport,,50,2015-08-09T15:45:18+00:00
41357,MY-0026,small_airport,Sook Airport,5.141388893,116.3077774,,AS,Malaysia,MY,Sabah,MY-12,12,Sook,0,,,,,,,50,2008-08-17T17:09:11+00:00
32289,WBGY,closed,Simanggang Airport,1.2219,111.4636,47,AS,Malaysia,MY,Sarawak,MY-13,13,Sri Aman,0,,,,,,"Sri Aman, WBGY, SGG",50,2015-05-25T09:54:46+00:00
41328,WMBB,closed,Sungai Petani Airport,5.623781,100.541963,90,AS,Malaysia,MY,Kedah,MY-02,2,Sungai Petani,0,,,,,,"WMBB, WMBB",50,2021-01-21T16:33:46+00:00
41315,MY-GTK,small_airport,Sungai Tekai Airport,2.64118,102.89297,160,AS,Malaysia,MY,Johor,MY-01,1,Sungai Tekai,0,,GTK,,,,,50,2021-01-21T16:02:58+00:00
32472,WMBI,small_airport,Taiping (Tekah) Airport,4.866432,100.715381,40,AS,Malaysia,MY,Perak,MY-08,8,Taiping,0,WMBI,TPG,,,https://en.wikipedia.org/wiki/Taiping_Airport,,50,2021-01-21T16:35:31+00:00
32434,WBKE,small_airport,Telupid Airport,5.62861,117.125999,343,AS,Malaysia,MY,Sabah,MY-12,12,Telupid,0,WBKE,TEL,,,https://de.wikipedia.org/wiki/Flughafen_Telupid,,50,2024-05-20T22:11:14+00:00
32667,WMBE,small_airport,Semantan Airport,3.480521,102.377901,100,AS,Malaysia,MY,Pahang,MY-06,6,Temerloh,0,WMBE,,,,,,50,2021-01-21T15:58:47+00:00
32668,WMBF,small_airport,Ulu Bernam Airport,3.740934,101.168504,10,AS,Malaysia,MY,Perak,MY-08,8,Ulu Bernam,0,WMBF,,,,,,50,2021-11-09T10:47:30+00:00
41358,MY-0027,small_airport,Ulu Tomani Airport,4.696944237,115.8633347,1300,AS,Malaysia,MY,Sabah,MY-12,12,Ulu Tomani,0,,,,,,,50,2008-08-17T17:09:12+00:00
41359,MY-0028,small_airport,Wallace Bay Airport,4.244166851,117.6561127,10,AS,Malaysia,MY,Sabah,MY-12,12,Wallace Bay,0,,,,,,,50,2008-08-17T17:09:13+00:00
513181,MY-0046,balloonport,Kaya88 Malaysia,3.1319,101.6841,,AS,Malaysia,MY,Melaka,MY-04,4,,0,,,,https://18.167.150.63/main-game-free-tanpa-download/,,,0,2023-10-12T23:34:06+00:00
356347,MY-0039,closed,Felda Air Tawar Airport,1.67001,104.02488,,AS,Malaysia,MY,Johor,MY-01,1,Air Tawar,0,,,,,,,0,2022-08-26T10:23:56+00:00
